Algorithm,Square Size,Total Path Distance,Total Energy Cost,Total Traversal Time,,Algorithm,Square Size,Total Path Distance,Total Energy Cost,Total Traversal Time,,Energy Cost Difference,Distance/Energy Cost
A*,53,99.77,644411.31,40.68,,Energy Cost A*,53,99.77,644411.31,40.68,,0.0,6459.016670407955
A*,54,97.85,615028.94,40.55,,Energy Cost A*,54,97.85,615028.94,40.55,,0.0,6285.376567363202
A*,55,103.61,612079.47,39.39,,Energy Cost A*,55,103.61,612079.47,39.39,,0.0,5907.615328424816
A*,56,104.53,635332.65,41.01,,Energy Cost A*,56,104.53,635332.65,41.01,,0.0,6077.880452396556
A*,57,104.28,617028.1,41.51,,Energy Cost A*,57,104.28,617028.1,41.51,,0.0,5917.304131816276
A*,58,110.29,615284.22,40.9,,Energy Cost A*,58,110.29,615284.22,40.9,,0.0,5578.673385478719
A*,59,111.34,666204.25,44.6,,Energy Cost A*,59,111.34,666204.25,44.6,,0.0,5983.712458434353
A*,60,113.98,663192.07,43.23,,Energy Cost A*,60,113.98,663192.07,43.23,,0.0,5818.385436147885
A*,61,110.34,678326.87,43.49,,Energy Cost A*,61,110.34,678326.87,43.49,,0.0,6147.543635148968
A*,62,113.9,699667.49,45.3,,Energy Cost A*,62,113.9,699667.49,45.3,,0.0,6142.671051299099
A*,63,118.86,743147.05,47.72,,Energy Cost A*,63,118.86,743147.05,47.72,,0.0,6252.379231651819
A*,64,118.25,751572.38,48.71,,Energy Cost A*,64,118.25,751572.38,48.71,,0.0,6355.628254143557
A*,65,121.17,725965.8,47.88,,Energy Cost A*,65,121.17,725965.8,47.88,,0.0,5991.059212031468
A*,66,130.44,754158.3,49.57,,Energy Cost A*,66,130.44,754158.3,49.57,,0.0,5781.817078454347
A*,67,125.03,744292.53,49.19,,Energy Cost A*,67,125.03,744292.53,49.19,,0.0,5952.883391287105
A*,68,129.37,794516.09,52.6,,Energy Cost A*,68,129.37,794516.09,52.6,,0.0,6141.510164431381
A*,69,131.73,795948.35,50.69,,Energy Cost A*,69,131.73,795948.35,50.69,,0.0,6042.38258439257
A*,70,130.15,768926.47,51.62,,Energy Cost A*,70,130.15,768926.47,51.62,,0.0,5908.175180705452
A*,71,134.89,833297.31,54.54,,Energy Cost A*,71,134.89,833297.31,54.54,,0.0,6177.777515992108
A*,72,138.58,819781.95,52.73,,Energy Cost A*,72,138.58,819781.95,52.73,,0.0,5915.760346159229
A*,73,141.8,796997.97,54.51,,Energy Cost A*,73,141.8,796997.97,54.51,,0.0,5620.632180255875
A*,74,142.47,831322.84,55.59,,Energy Cost A*,74,142.47,831322.84,55.59,,0.0,5834.911594383519
A*,75,138.61,860112.5,54.8,,Energy Cost A*,75,138.61,860112.5,54.8,,0.0,6205.170683874925
A*,76,143.06,843074.67,55.63,,Energy Cost A*,76,143.06,843074.67,55.63,,0.0,5893.133880831687
A*,77,143.69,918304.48,59.31,,Energy Cost A*,77,143.69,918304.48,59.31,,0.0,6390.758117374806
A*,78,147.46,865503.12,56.46,,Energy Cost A*,78,147.46,865503.12,56.46,,0.0,5869.422910311085
A*,79,146.62,853323.56,57.96,,Energy Cost A*,79,146.62,853323.56,57.96,,0.0,5819.7902568655945
A*,80,153.64,878618.03,58.97,,Energy Cost A*,80,153.64,878618.03,58.97,,0.0,5718.717233947235
A*,81,153.99,898252.88,59.51,,Energy Cost A*,81,153.99,898252.88,59.51,,0.0,5833.239177893124
A*,82,155.93,957037.39,61.72,,Energy Cost A*,82,155.93,957037.39,61.72,,0.0,6137.599059725357
A*,83,158.77,899895.35,60.88,,Energy Cost A*,83,158.77,899895.35,60.88,,0.0,5668.032551223462
A*,84,159.42,954348.6,62.48,,Energy Cost A*,84,159.42,954348.6,62.48,,0.0,5986.2717134849
A*,85,159.18,988629.98,65.58,,Energy Cost A*,85,159.18,988629.98,65.58,,0.0,6210.8987443274
A*,86,161.21,999107.02,66.75,,Energy Cost A*,86,161.21,999107.02,66.75,,0.0,6197.6651098244565
A*,87,164.16,1014700.42,65.41,,Energy Cost A*,87,164.16,1014700.42,65.41,,0.0,6181.00970501403
A*,88,165.3,980569.83,63.93,,Energy Cost A*,88,165.3,980569.83,63.93,,0.0,5932.091591865228
A*,89,168.03,1065499.49,68.27,,Energy Cost A*,89,168.03,1065499.49,68.27,,0.0,6341.23440955248
A*,90,173.35,1068158.34,68.64,,Energy Cost A*,90,173.35,1068158.34,68.64,,0.0,6161.932655232877
A*,91,171.14,1036672.39,67.45,,Energy Cost A*,91,171.14,1036672.39,67.45,,0.0,6057.562544098882
A*,92,177.38,1092808.78,71.0,,Energy Cost A*,92,177.38,1092808.78,71.0,,0.0,6160.671832316546
A*,93,171.4,1046526.13,69.54,,Energy Cost A*,93,171.4,1046526.13,69.54,,0.0,6105.702075624569
A*,94,174.05,1090071.41,70.76,,Energy Cost A*,94,174.05,1090071.41,70.76,,0.0,6262.949844440935
A*,95,178.02,1073174.99,70.52,,Energy Cost A*,95,178.02,1073174.99,70.52,,0.0,6028.335598601063
A*,96,177.43,1083335.45,71.52,,Energy Cost A*,96,177.43,1083335.45,71.52,,0.0,6105.866118807981
A*,97,184.72,1144333.33,75.14,,Energy Cost A*,97,184.72,1144333.33,75.14,,0.0,6194.943804218489
A*,98,184.66,1082949.49,72.02,,Energy Cost A*,98,184.66,1082949.49,72.02,,0.0,5864.6329941288395
A*,99,186.7,1095043.82,71.65,,Energy Cost A*,99,186.7,1095043.82,71.65,,0.0,5865.142590952312
A*,100,185.53,1150562.13,76.23,,Energy Cost A*,100,185.53,1150562.13,76.23,,0.0,6201.650953621975
